"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2025","1,265.15","1,270.44","1,280.78","1,260.31","11.80B","0.05%"
"08/06/2025","1,264.47","1,253.85","1,266.52","1,248.09","11.20B","1.40%"
"08/05/2025","1,246.96","1,235.13","1,250.36","1,233.44","9.71B","1.43%"
"08/04/2025","1,229.40","1,222.58","1,231.11","1,212.68","9.88B","0.91%"
"08/01/2025","1,218.33","1,252.50","1,255.39","1,217.37","10.67B","-1.93%"
"07/31/2025","1,242.35","1,241.79","1,251.16","1,229.76","10.64B","-0.14%"
"07/30/2025","1,244.14","1,236.01","1,245.44","1,234.21","10.94B","0.85%"
"07/29/2025","1,233.68","1,224.27","1,235.19","1,213.87","9.35B","1.36%"
"07/25/2025","1,217.15","1,205.25","1,218.71","1,204.70","8.42B","0.38%"
"07/24/2025","1,212.49","1,214.29","1,227.71","1,206.19","10.19B","-0.58%"
"07/23/2025","1,219.62","1,202.82","1,222.75","1,202.25","10.53B","2.34%"
"07/22/2025","1,191.75","1,209.57","1,213.24","1,191.65","9.49B","-1.36%"
"07/21/2025","1,208.13","1,213.52","1,217.83","1,199.54","8.68B","0.13%"
"07/18/2025","1,206.58","1,197.36","1,210.01","1,195.30","10.45B","0.71%"
"07/17/2025","1,198.11","1,163.90","1,199.14","1,162.70","12.05B","3.50%"
"07/16/2025","1,157.63","1,160.14","1,167.80","1,154.13","11.28B","-0.29%"
"07/15/2025","1,161.01","1,143.73","1,162.72","1,139.64","11.00B","1.55%"
"07/14/2025","1,143.31","1,122.39","1,143.31","1,121.64","8.08B","1.98%"
"07/11/2025","1,121.13","1,116.61","1,130.28","1,115.47","7.97B","0.97%"
"07/09/2025","1,110.40","1,115.58","1,120.45","1,108.09","6.83B","-0.47%"
"07/08/2025","1,115.65","1,112.39","1,121.37","1,110.16","8.20B","-0.65%"
"07/07/2025","1,123.00","1,113.36","1,123.00","1,107.46","8.95B","0.27%"
"07/04/2025","1,119.94","1,127.35","1,128.08","1,115.37","7.63B","-0.64%"
"07/03/2025","1,127.21","1,114.83","1,127.66","1,113.77","7.80B","1.03%"
"07/02/2025","1,115.69","1,107.13","1,115.69","1,103.99","7.26B","0.51%"
"07/01/2025","1,110.01","1,094.91","1,110.01","1,086.56","8.45B","1.88%"
"06/30/2025","1,089.56","1,089.01","1,094.77","1,080.92","7.90B","0.66%"
"06/27/2025","1,082.42","1,104.68","1,104.92","1,078.57","9.52B","-2.20%"
"06/26/2025","1,106.73","1,104.86","1,117.64","1,104.72","9.60B","-0.09%"
"06/25/2025","1,107.69","1,095.01","1,110.44","1,090.74","12.98B","0.70%"
"06/24/2025","1,100.01","1,076.27","1,100.01","1,074.96","9.95B","3.50%"
"06/23/2025","1,062.78","1,059.37","1,067.88","1,053.79","7.89B","-0.45%"
"06/20/2025","1,067.63","1,071.96","1,082.90","1,066.02","8.21B","-0.10%"
"06/19/2025","1,068.73","1,082.80","1,085.71","1,066.07","8.76B","-2.36%"
"06/18/2025","1,094.58","1,113.59","1,120.33","1,094.58","8.36B","-1.71%"
"06/17/2025","1,113.58","1,117.17","1,119.13","1,112.25","6.52B","-0.08%"
"06/16/2025","1,114.49","1,121.14","1,123.83","1,107.79","8.17B","-0.73%"
"06/13/2025","1,122.70","1,124.34","1,127.29","1,118.59","8.43B","-0.52%"
"06/12/2025","1,128.62","1,140.61","1,143.45","1,126.92","7.22B","-1.14%"
"06/11/2025","1,141.58","1,141.71","1,145.19","1,139.64","7.04B","0.21%"
"06/10/2025","1,139.16","1,134.82","1,144.40","1,134.82","8.27B","0.35%"
"06/09/2025","1,135.24","1,142.35","1,144.24","1,132.67","6.40B","-0.10%"
"06/06/2025","1,136.43","1,140.27","1,141.05","1,129.41","7.97B","-0.37%"
"06/05/2025","1,140.63","1,138.12","1,145.01","1,135.10","8.20B","0.76%"
"06/04/2025","1,132.02","1,147.66","1,149.68","1,127.57","9.77B","-1.49%"
"05/30/2025","1,149.18","1,155.60","1,160.43","1,149.18","9.76B","-1.27%"
"05/29/2025","1,164.01","1,175.44","1,178.24","1,162.88","8.12B","0.28%"
"05/28/2025","1,160.74","1,167.98","1,173.68","1,160.59","8.23B","-0.23%"
"05/27/2025","1,163.42","1,176.34","1,176.34","1,159.61","8.57B","-1.27%"
"05/26/2025","1,178.43","1,178.72","1,180.03","1,168.17","7.09B","0.18%"
"05/23/2025","1,176.36","1,177.89","1,184.86","1,173.54","8.13B","0.25%"
"05/22/2025","1,173.37","1,175.14","1,182.54","1,171.76","9.35B","-0.55%"
"05/21/2025","1,179.81","1,192.69","1,199.29","1,176.65","10.29B","-0.78%"
"05/20/2025","1,189.14","1,193.52","1,197.80","1,186.34","9.98B","0.18%"
"05/19/2025","1,187.06","1,191.24","1,195.79","1,184.86","9.15B","-0.73%"
"05/16/2025","1,195.77","1,198.68","1,204.33","1,190.21","9.02B","0.11%"
"05/15/2025","1,194.49","1,210.10","1,212.48","1,191.40","9.64B","-1.83%"
"05/14/2025","1,216.71","1,215.21","1,218.64","1,207.21","8.39B","0.19%"
"05/13/2025","1,214.39","1,226.93","1,231.02","1,212.19","8.86B","0.28%"
"05/09/2025","1,210.94","1,211.59","1,213.68","1,195.86","9.17B","0.36%"
"05/08/2025","1,206.59","1,217.53","1,221.34","1,205.57","8.59B","-1.12%"
"05/07/2025","1,220.27","1,197.13","1,220.27","1,195.24","9.99B","2.73%"
"05/06/2025","1,187.86","1,200.33","1,201.04","1,187.86","7.86B","-0.93%"
"05/02/2025","1,198.98","1,210.70","1,214.75","1,196.33","8.70B","0.14%"
"04/30/2025","1,197.26","1,171.46","1,197.26","1,169.23","10.82B","2.23%"
"04/29/2025","1,171.12","1,160.88","1,171.12","1,155.47","7.05B","1.00%"
"04/28/2025","1,159.53","1,161.47","1,166.32","1,156.63","5.35B","0.05%"
"04/25/2025","1,159.00","1,154.56","1,161.03","1,151.65","6.84B","1.06%"
"04/24/2025","1,146.86","1,149.52","1,155.13","1,143.29","7.64B","-0.60%"
"04/23/2025","1,153.77","1,153.71","1,160.01","1,147.65","8.26B","0.85%"
"04/22/2025","1,144.05","1,129.35","1,146.02","1,127.46","7.51B","0.82%"
"04/21/2025","1,134.71","1,149.33","1,153.83","1,130.56","6.99B","-1.41%"
"04/18/2025","1,150.95","1,143.26","1,153.20","1,141.32","6.25B","0.85%"
"04/17/2025","1,141.28","1,136.82","1,145.19","1,133.90","6.36B","0.21%"
"04/16/2025","1,138.90","1,127.59","1,142.35","1,120.72","7.65B","0.91%"
"04/11/2025","1,128.66","1,127.87","1,136.13","1,118.96","8.77B","-0.47%"
"04/10/2025","1,133.95","1,135.79","1,146.86","1,122.95","10.52B","4.21%"
"04/09/2025","1,088.18","1,070.86","1,094.38","1,062.54","12.11B","1.26%"
"04/08/2025","1,074.59","1,076.11","1,083.75","1,056.41","12.21B","-4.50%"
"04/04/2025","1,125.21","1,155.46","1,156.02","1,122.51","9.22B","-3.15%"
"04/03/2025","1,161.81","1,159.93","1,164.29","1,156.39","8.44B","-0.93%"
"04/02/2025","1,172.69","1,168.12","1,176.84","1,166.59","6.20B","0.40%"
"04/01/2025","1,168.02","1,165.76","1,174.22","1,165.33","6.83B","0.86%"
"03/31/2025","1,158.09","1,155.05","1,169.09","1,155.05","8.52B","-1.48%"
"03/28/2025","1,175.45","1,185.02","1,185.18","1,173.49","5.15B","-1.05%"
"03/27/2025","1,187.90","1,190.26","1,193.96","1,185.20","6.40B","-0.21%"
"03/26/2025","1,190.36","1,186.41","1,194.65","1,186.41","5.98B","0.46%"
"03/25/2025","1,184.93","1,190.66","1,191.01","1,181.13","6.85B","-0.43%"
"03/24/2025","1,190.06","1,188.20","1,192.59","1,182.60","6.32B","0.29%"
"03/21/2025","1,186.61","1,187.06","1,190.62","1,180.49","10.23B","0.41%"
"03/20/2025","1,181.71","1,192.28","1,200.09","1,181.71","9.44B","-0.67%"
"03/19/2025","1,189.66","1,177.37","1,195.56","1,174.62","9.82B","1.15%"
"03/18/2025","1,176.17","1,177.68","1,181.31","1,165.99","8.90B","0.51%"
"03/17/2025","1,170.20","1,175.74","1,178.51","1,165.46","7.60B","-0.30%"
"03/14/2025","1,173.76","1,162.55","1,176.92","1,160.13","8.30B","1.22%"
"03/13/2025","1,159.64","1,164.18","1,168.73","1,157.96","7.60B","-0.04%"
"03/12/2025","1,160.06","1,184.86","1,186.57","1,158.17","9.38B","-2.32%"
"03/11/2025","1,187.63","1,167.19","1,189.40","1,160.99","9.75B","0.87%"
"03/10/2025","1,177.44","1,195.37","1,196.52","1,177.44","8.09B","-2.05%"
"03/07/2025","1,202.03","1,188.66","1,202.03","1,186.93","9.29B","1.05%"
"03/06/2025","1,189.55","1,206.86","1,207.04","1,186.91","9.87B","-1.44%"
"03/05/2025","1,206.96","1,185.36","1,208.76","1,183.21","9.49B","2.49%"
"03/04/2025","1,177.64","1,182.32","1,195.66","1,173.13","9.23B","-0.91%"
"03/03/2025","1,188.41","1,207.27","1,211.21","1,185.73","8.98B","-1.27%"
"02/28/2025","1,203.72","1,192.43","1,206.58","1,186.36","11.49B","-0.99%"
"02/27/2025","1,215.73","1,228.65","1,235.11","1,212.54","10.23B","-1.25%"
"02/26/2025","1,231.14","1,209.72","1,233.35","1,208.91","11.89B","2.05%"
"02/25/2025","1,206.39","1,231.48","1,231.48","1,206.39","9.56B","-2.38%"
"02/24/2025","1,235.85","1,242.50","1,242.50","1,227.42","8.84B","-0.83%"
"02/21/2025","1,246.21","1,243.89","1,252.50","1,240.67","8.20B","0.05%"
"02/20/2025","1,245.61","1,255.25","1,261.41","1,240.56","10.22B","-1.32%"
"02/19/2025","1,262.27","1,255.15","1,267.72","1,254.18","9.20B","0.38%"
"02/18/2025","1,257.48","1,257.68","1,263.01","1,252.73","8.67B","0.08%"
"02/17/2025","1,256.48","1,244.56","1,256.48","1,236.80","9.81B","-1.23%"
"02/14/2025","1,272.10","1,286.57","1,287.66","1,269.81","8.05B","-0.94%"
"02/13/2025","1,284.11","1,287.16","1,298.72","1,281.16","8.71B","0.01%"
"02/11/2025","1,283.97","1,272.91","1,285.98","1,269.58","7.02B","1.06%"
"02/10/2025","1,270.49","1,273.95","1,275.88","1,262.41","7.75B","-0.90%"
"02/07/2025","1,282.09","1,266.35","1,282.09","1,252.26","10.00B","1.59%"
"02/06/2025","1,262.07","1,289.00","1,290.26","1,260.02","8.85B","-1.92%"
"02/05/2025","1,286.74","1,300.74","1,305.17","1,282.04","7.99B","-1.10%"
"02/04/2025","1,301.02","1,310.75","1,316.41","1,300.11","8.06B","-0.26%"
"02/03/2025","1,304.39","1,276.91","1,304.39","1,270.87","9.88B","-0.77%"
"01/31/2025","1,314.50","1,336.42","1,337.80","1,310.72","9.29B","-1.58%"
"01/30/2025","1,335.64","1,342.72","1,345.76","1,333.27","7.09B","-0.56%"
"01/29/2025","1,343.19","1,350.73","1,351.68","1,341.32","6.33B","-0.19%"
"01/28/2025","1,345.77","1,334.26","1,347.54","1,334.26","7.43B","0.36%"
"01/27/2025","1,340.94","1,349.05","1,354.74","1,340.59","6.93B","-0.97%"
"01/24/2025","1,354.07","1,350.03","1,354.07","1,344.62","6.67B","0.74%"
"01/23/2025","1,344.17","1,359.87","1,362.00","1,344.17","6.83B","-1.29%"
"01/22/2025","1,361.77","1,355.22","1,363.92","1,355.22","7.82B","0.68%"
"01/21/2025","1,352.53","1,346.59","1,357.50","1,343.23","7.95B","0.90%"
"01/20/2025","1,340.50","1,344.53","1,350.41","1,338.29","6.47B","-0.01%"
"01/17/2025","1,340.63","1,348.06","1,356.33","1,338.84","8.27B","-0.88%"
"01/16/2025","1,352.56","1,362.14","1,363.55","1,346.45","7.86B","-0.05%"
"01/15/2025","1,353.17","1,343.19","1,353.17","1,334.79","8.55B","0.96%"
"01/14/2025","1,340.25","1,363.86","1,363.86","1,340.25","9.83B","-1.04%"
"01/13/2025","1,354.34","1,359.21","1,362.14","1,349.02","9.44B","-1.00%"
"01/10/2025","1,367.99","1,362.91","1,371.10","1,352.33","11.35B","0.37%"
"01/09/2025","1,362.97","1,385.34","1,385.34","1,360.27","10.77B","-1.78%"
"01/08/2025","1,387.72","1,390.81","1,392.43","1,381.72","8.01B","-0.23%"
"01/07/2025","1,390.88","1,375.29","1,395.70","1,375.29","8.84B","1.33%"
"01/06/2025","1,372.65","1,388.64","1,390.84","1,370.69","7.84B","-0.87%"
"01/03/2025","1,384.76","1,383.28","1,390.27","1,379.09","7.29B","0.36%"
"01/02/2025","1,379.85","1,397.93","1,399.35","1,378.44","8.34B","-1.45%"
"12/30/2024","1,400.21","1,403.27","1,409.13","1,398.39","6.38B","-0.09%"
"12/27/2024","1,401.46","1,398.13","1,410.02","1,395.15","8.46B","0.26%"
"12/26/2024","1,397.80","1,400.60","1,403.45","1,395.40","5.27B","-0.22%"
"12/25/2024","1,400.85","1,399.02","1,403.69","1,395.59","6.48B","0.44%"
"12/24/2024","1,394.67","1,390.16","1,397.51","1,388.22","6.40B","0.56%"
"12/23/2024","1,386.91","1,374.06","1,386.93","1,366.71","10.87B","1.60%"
"12/20/2024","1,365.07","1,375.83","1,379.91","1,361.34","10.54B","-0.90%"
"12/19/2024","1,377.53","1,384.24","1,394.26","1,374.33","9.86B","-1.53%"
"12/18/2024","1,398.95","1,399.28","1,404.48","1,389.24","9.28B","0.24%"
"12/17/2024","1,395.57","1,418.02","1,421.65","1,393.94","10.34B","-1.70%"
"12/16/2024","1,419.72","1,422.80","1,424.68","1,414.86","7.41B","-0.83%"
"12/13/2024","1,431.67","1,435.31","1,438.67","1,429.68","8.80B","-0.57%"
"12/12/2024","1,439.89","1,448.59","1,456.92","1,439.01","8.68B","-0.22%"
"12/11/2024","1,443.05","1,444.95","1,454.32","1,441.68","8.25B","-0.31%"
"12/09/2024","1,447.53","1,448.94","1,450.41","1,441.99","11.45B","-0.31%"
"12/06/2024","1,451.96","1,450.05","1,454.97","1,448.21","8.70B","0.08%"
"12/04/2024","1,450.82","1,455.16","1,457.71","1,448.54","9.68B","-0.27%"
"12/03/2024","1,454.76","1,441.43","1,455.84","1,441.43","10.62B","1.23%"
"12/02/2024","1,437.11","1,430.55","1,437.11","1,421.18","10.01B","0.67%"
"11/29/2024","1,427.54","1,429.02","1,433.03","1,422.88","10.11B","-0.03%"
"11/28/2024","1,428.01","1,430.31","1,433.61","1,421.96","8.61B","-0.17%"
"11/27/2024","1,430.40","1,436.32","1,437.27","1,425.93","10.01B","-0.55%"
"11/26/2024","1,438.25","1,442.27","1,448.59","1,435.54","9.62B","-0.35%"
"11/25/2024","1,443.31","1,452.77","1,455.39","1,441.86","9.48B","-0.21%"
"11/22/2024","1,446.30","1,445.17","1,451.52","1,435.78","12.94B","0.41%"
"11/21/2024","1,440.46","1,442.73","1,453.12","1,436.73","10.90B","-1.51%"
"11/20/2024","1,462.48","1,462.65","1,462.77","1,454.69","10.52B","0.16%"
"11/19/2024","1,460.11","1,460.25","1,471.48","1,458.91","14.46B","0.50%"
"11/18/2024","1,452.78","1,448.30","1,456.57","1,442.16","12.95B","0.70%"
"11/15/2024","1,442.63","1,455.81","1,458.32","1,436.79","14.37B","-0.52%"
"11/14/2024","1,450.12","1,450.01","1,461.99","1,441.15","14.41B","-0.09%"
"11/13/2024","1,451.47","1,447.82","1,463.31","1,447.82","14.79B","0.44%"
"11/12/2024","1,445.07","1,455.90","1,460.13","1,443.15","15.56B","-0.78%"
"11/11/2024","1,456.47","1,463.75","1,465.29","1,452.81","14.49B","-0.56%"
"11/08/2024","1,464.69","1,473.19","1,474.59","1,458.34","18.89B","-0.34%"
"11/07/2024","1,469.72","1,469.71","1,478.77","1,468.56","12.67B","0.16%"
"11/06/2024","1,467.42","1,484.38","1,487.58","1,463.06","20.26B","-0.96%"
